,CI,CK,CM,CO,CR,CV,EH,EL,H,L,LL,R,aubrite,brachinite,diogenite,eucrite,howardite,lodranite-acapulcoite,lunar-meteorite,martian,mesosiderite,pallasite,ureilite
CI,3,0,6,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CK,0,1,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
CM,5,0,215,0,4,9,3,1,4,0,2,2,12,0,0,0,1,0,0,0,1,0,19
CO,1,0,2,1,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CR,0,0,7,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,0,1,18,2,1,44,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
EH,0,0,9,0,0,0,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
EL,0,0,12,0,0,2,7,11,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1
H,2,0,11,1,2,0,0,1,29,54,2,0,5,0,0,0,0,1,0,0,0,0,1
L,1,0,14,0,2,0,1,1,18,108,13,0,2,2,1,3,1,10,2,0,0,1,5
LL,0,0,9,0,1,1,1,0,4,35,29,0,0,2,0,0,1,1,0,0,0,0,5
R,0,4,0,0,0,3,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0
aubrite,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8
brachinite,0,1,0,0,0,0,0,0,0,1,1,1,0,10,0,0,0,0,0,0,0,0,1
diogenite,0,0,0,0,0,0,0,0,2,1,2,1,0,0,42,0,13,2,0,0,0,1,3
eucrite,0,0,1,0,0,2,0,0,1,5,1,0,1,0,2,99,16,1,6,3,0,0,0
howardite,0,0,1,0,0,0,0,0,2,5,0,0,1,0,12,31,97,0,2,0,1,0,0
lodranite-acapulcoite,1,0,2,0,0,0,0,0,1,10,0,0,0,0,0,0,0,25,0,0,1,0,1
lunar-meteorite,1,5,3,0,0,5,0,0,0,6,2,0,8,0,0,0,0,0,15,3,1,0,5
martian,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,11,0,0,3
mesosiderite,2,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,0
pallasite,3,0,1,0,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0
ureilite,0,0,14,0,0,0,1,0,3,9,0,0,1,0,0,0,0,1,0,1,0,0,43
