,CI,CK,CM,CO,CR,CV,EH,EL,H,L,LL,R,aubrite,brachinite,diogenite,eucrite,howardite,lodranite-acapulcoite,lunar-meteorite,martian,mesosiderite,pallasite,ureilite
CI,0,0,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
CK,0,0,7,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0
CM,1,1,241,3,1,9,0,1,1,4,0,1,1,0,0,1,0,0,2,0,0,1,10
CO,0,0,5,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
CR,0,0,6,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
CV,1,0,56,0,0,2,0,2,0,2,1,0,1,1,0,0,0,4,2,0,0,0,1
EH,0,0,19,0,0,1,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
EL,1,1,22,0,2,0,1,1,2,4,0,0,0,2,0,0,0,1,0,0,0,0,0
H,0,0,19,1,0,3,0,2,8,48,5,0,0,3,1,4,1,5,4,1,1,0,3
L,0,0,45,2,0,2,1,2,11,68,7,2,0,2,3,5,9,13,4,1,0,1,7
LL,0,1,17,0,0,2,0,0,7,26,8,0,0,0,1,6,4,2,8,3,0,0,4
R,0,0,7,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
aubrite,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
brachinite,0,0,0,1,0,0,0,0,0,4,1,0,0,2,0,1,0,6,0,0,0,0,0
diogenite,0,0,0,0,0,0,0,0,1,3,2,0,0,0,37,4,18,0,1,0,1,0,0
eucrite,0,1,4,1,0,1,0,0,1,11,0,0,0,0,5,43,60,1,6,2,0,0,2
howardite,0,0,1,0,0,0,0,0,2,8,0,0,0,0,12,53,71,0,3,1,0,0,1
lodranite-acapulcoite,0,0,3,0,0,0,0,0,2,7,1,0,0,0,2,1,0,24,0,0,0,0,1
lunar-meteorite,0,0,17,0,0,1,0,0,0,9,5,0,0,0,0,4,5,0,3,0,0,0,10
martian,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,4,7,0,2,0,0,0,1
mesosiderite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,3
pallasite,0,0,6,0,0,2,0,0,0,3,1,0,0,0,3,0,1,2,0,0,1,3,0
ureilite,0,0,43,0,0,0,0,0,4,7,2,0,0,0,0,0,0,0,4,1,0,0,12
