group_a,group_b,auc_before,auc_after,delta
CO,EL,0.8407142857142856,0.6160714285714286,-0.22464285714285703
CR,R,0.7166666666666666,0.5333333333333333,-0.18333333333333324
CK,aubrite,0.9857142857142858,0.8571428571428571,-0.12857142857142867
L,lodranite-acapulcoite,0.8377448350606246,0.733529205897627,-0.10421562916299754
CV,ureilite,0.7511111111111112,0.6621428571428571,-0.08896825396825403
howardite,martian,0.9032119021134595,0.8367783648498331,-0.06643353726362633
EH,ureilite,0.8609595761381476,0.8138343799058084,-0.04712519623233913
R,martian,0.8783333333333333,0.8366666666666667,-0.04166666666666663
H,L,0.5597022989159238,0.5211196424358746,-0.038582656480049216
CM,CR,0.9204593554593554,0.8846553251816409,-0.035804030277714505
lodranite-acapulcoite,ureilite,0.9360714285714286,0.9016666666666666,-0.03440476190476194
CV,EH,0.5675860647289218,0.5356524427952999,-0.031933621933621925
CM,EL,0.9121651288244497,0.8816229973178379,-0.03054213150661178
EL,martian,0.9928571428571429,0.9628571428571429,-0.030000000000000027
diogenite,howardite,0.8741965407958056,0.8495272959611195,-0.02466924483468602
CM,brachinite,0.9874712032606769,0.963382319434951,-0.024088883825725937
R,ureilite,0.79991452991453,0.78,-0.01991452991453002
howardite,lodranite-acapulcoite,0.9723100755453696,0.9540480434598081,-0.01826203208556154
LL,ureilite,0.8005292950513538,0.7835208041549953,-0.017008490896358586
EH,diogenite,0.9819444444444445,0.9652777777777779,-0.016666666666666607
eucrite,howardite,0.654782176028306,0.6388570691434469,-0.015925106884859153
CV,diogenite,1.0,0.9865873622176142,-0.013412637782385772
brachinite,eucrite,0.9800071575933647,0.9677676729400867,-0.012239484653277954
CO,eucrite,0.9892857142857142,0.9788177339901478,-0.010467980295566393
brachinite,howardite,0.9870967741935484,0.9778865406006674,-0.009210233592880979
LL,martian,0.772844611528822,0.7643072960178222,-0.008537315510999788
CM,aubrite,0.7165356621935569,0.7080016620806094,-0.00853400011294747
EL,brachinite,0.9888888888888889,0.9805555555555555,-0.008333333333333415
diogenite,ureilite,0.9894384041495385,0.9813171025986153,-0.008121301550923277
CK,diogenite,0.9795238095238095,0.9728571428571428,-0.00666666666666671
howardite,ureilite,0.9837080883521374,0.9771075003972667,-0.006600587954870729
EH,H,0.8656974823422191,0.8597204184704186,-0.005977063871800525
CO,diogenite,1.0,0.9948717948717949,-0.00512820512820511
CV,L,0.852608756419732,0.8476878541512688,-0.004920902268463201
CM,lodranite-acapulcoite,0.9903712853562479,0.9872832080200501,-0.0030880773361977587
EH,eucrite,0.983354686293217,0.9807723411021761,-0.0025823451910408357
EH,EL,0.5716269841269842,0.5692460317460318,-0.0023809523809523725
L,aubrite,0.9541454672611241,0.951959940720759,-0.0021855265403651902
H,howardite,0.9686525764895328,0.9672835144927536,-0.0013690619967792195
EL,H,0.8748858984153103,0.8737106031223678,-0.0011752952929424687
L,howardite,0.9484559387808913,0.9476209618216259,-0.0008349769592653766
aubrite,eucrite,0.9793292913982569,0.9785486926866238,-0.0007805987116330515
CM,diogenite,0.9994152046783625,0.9991228070175439,-0.00029239766081867735
CM,LL,0.956479707647714,0.9563226947750885,-0.0001570128726254838
H,diogenite,0.9691989459815546,0.9690424647815952,-0.0001564811999594795
EL,howardite,0.9987878787878788,0.9987878787878788,0.0
CO,howardite,0.99375,0.99375,0.0
CO,CR,0.55,0.55,0.0
CV,howardite,0.9978119658119657,0.9978857399910032,7.377417903742245e-05
CM,howardite,0.9970956278509195,0.9981056151857042,0.0010099873347846344
aubrite,diogenite,0.9976190476190476,1.0,0.0023809523809523725
R,brachinite,0.7972222222222223,0.8,0.002777777777777768
aubrite,lunar-meteorite,0.8688573232323232,0.8717803030303031,0.002922979797979841
aubrite,howardite,0.9960591133004926,0.9990147783251231,0.002955665024630516
CV,eucrite,0.9594570420760897,0.9626360544217686,0.0031790123456788555
EL,lunar-meteorite,0.9691176470588235,0.9724509803921568,0.0033333333333332993
EH,howardite,0.9848824293985585,0.9882890228051519,0.003406593406593328
L,eucrite,0.9207136107088386,0.9253945087256328,0.004680898016794166
eucrite,ureilite,0.9502265752454828,0.9549895881429494,0.004763012897466612
R,diogenite,0.9794871794871796,0.9846153846153847,0.00512820512820511
EL,eucrite,0.9735295902783587,0.9787666356631874,0.00523704538482872
CM,martian,0.96,0.965925925925926,0.005925925925926001
aubrite,ureilite,0.8161477411477411,0.8223595848595849,0.006211843711843801
EL,lodranite-acapulcoite,0.9726233766233767,0.9793650793650794,0.006741702741702715
CR,eucrite,0.9862068965517242,0.993103448275862,0.006896551724137834
CM,eucrite,0.9815744437447929,0.9890868806228749,0.007512436878082007
aubrite,lodranite-acapulcoite,0.9623232323232322,0.9712121212121211,0.008888888888888835
brachinite,diogenite,0.9904761904761905,1.0,0.00952380952380949
CR,howardite,0.9858781362007167,0.9955555555555555,0.00967741935483879
LL,lunar-meteorite,0.8163109652495842,0.8261840170344007,0.009873051784816456
aubrite,martian,0.99,1.0,0.010000000000000009
CK,H,0.7895330112721417,0.799604743083004,0.010071731810862294
R,eucrite,0.9752849002849002,0.9856410256410257,0.010356125356125512
CM,L,0.9517769763617799,0.962430033403157,0.01065305704137709
EL,ureilite,0.8982142857142857,0.9089880952380953,0.010773809523809574
CM,H,0.9328609981627058,0.9438331649375293,0.010972166774823489
EH,L,0.8718718405400049,0.8829577431198098,0.011085902579804907
CM,lunar-meteorite,0.9386753516171705,0.9518527409980804,0.013177389380909843
CO,aubrite,0.9866666666666667,1.0,0.013333333333333308
LL,aubrite,0.9141121031746031,0.9279550438596491,0.01384294068504599
eucrite,lunar-meteorite,0.6611338448422848,0.6757246376811594,0.014590792838874656
LL,diogenite,0.928143559871501,0.9438105226064785,0.015666962734977474
LL,lodranite-acapulcoite,0.8927171375796694,0.9092852068363578,0.01656806925668841
diogenite,martian,0.8314141414141414,0.848037518037518,0.01662337662337665
CV,LL,0.8224033990700657,0.8419031585698253,0.019499759499759683
H,eucrite,0.9177836708518867,0.9375805558759083,0.01979688502402155
howardite,lunar-meteorite,0.8056024347424657,0.8271205746100557,0.02151813986758999
