,CI,CK,CM,CO,CR,CV,EH,EL,H,L,LL,R,aubrite,brachinite,diogenite,eucrite,howardite,lodranite-acapulcoite,lunar-meteorite,martian,mesosiderite,pallasite,ureilite
CI,,0.6530448717948718,0.5752398081534772,0.640151515151515,0.6297348484848485,0.7274543378995434,0.6027298850574713,0.5619369369369368,0.5932721712538227,0.6023648648648648,0.6816479400749064,0.6762820512820512,0.6336206896551724,0.8250000000000001,0.9735696517412936,0.9593900966183576,0.9643640350877193,0.8495934959349594,0.6095679012345679,0.875,0.5577651515151515,0.6477272727272728,0.5579337899543378
CK,0.6530448717948718,,0.7915513742851873,0.6293706293706295,0.6946386946386948,0.6413768879522305,0.6984969053934571,0.8108108108108109,0.7120677487649965,0.642966042966043,0.6609046384327283,0.6291913214990138,0.7992926613616268,0.7230769230769231,0.95752009184845,0.9048680787811222,0.9858299595141701,0.9324577861163227,0.6353276353276353,0.7589743589743589,0.5967365967365967,0.6771561771561773,0.6255707762557078
CM,0.5752398081534772,0.7915513742851873,,0.9371048615652932,0.9081098757357751,0.6769817023093854,0.8071198213842719,0.8421154967917559,0.9396739489142631,0.9450580076479357,0.9365990353784387,0.8974358974358975,0.5838501612503101,0.9786570743405276,0.9988904398868965,0.9839693462621207,0.9976650258740376,0.9697607767444582,0.9327204902744471,0.9319544364508392,0.5429474602136473,0.7347394811423588,0.8440425741598502
CO,0.640151515151515,0.6293706293706295,0.9371048615652932,,0.6363636363636364,0.7745952677459527,0.6708463949843261,0.6396396396396397,0.7406171809841534,0.7526617526617526,0.7143343547837929,0.6491841491841492,0.9393939393939394,0.6585858585858587,0.984622342831298,0.9659639877031182,0.9958133971291866,0.8736141906873613,0.9971941638608305,0.881060606060606,0.684573002754821,0.6308539944903581,0.8522208385222084
CR,0.6297348484848485,0.6946386946386948,0.9081098757357751,0.6363636363636364,,0.8572021585720216,0.6269592476489028,0.5634725634725635,0.6430358632193495,0.7805077805077806,0.8495062989445011,0.6818181818181818,0.8474399164054337,0.719191919191919,0.9923111714156491,0.9685990338164251,0.9962121212121212,0.8603104212860311,0.9792368125701457,0.7946969696969696,0.7382920110192838,0.7011019283746557,0.8493150684931506
CV,0.7274543378995434,0.6413768879522305,0.6769817023093854,0.7745952677459527,0.8572021585720216,,0.618012911352543,0.7191163766506232,0.8028570231661849,0.8182401579661854,0.819198604484121,0.8366701791359326,0.5703038891513148,0.9108066971080669,0.9868465889729435,0.9617497187479319,0.9922494592645998,0.9248245907116606,0.7794689666835786,0.8929223744292236,0.5736820257368201,0.7123287671232875,0.6809282542065428
EH,0.6027298850574713,0.6984969053934571,0.8071198213842719,0.6708463949843261,0.6269592476489028,0.618012911352543,,0.5585585585585585,0.8222081619740589,0.825722273998136,0.8700761978561281,0.6604774535809018,0.7166072136345621,0.8421455938697319,0.9809572825527534,0.9554389471930701,0.9879764065335753,0.8561816652649284,0.8646232439335888,0.8954022988505747,0.5768025078369906,0.6985370950888191,0.8434892142969611
EL,0.5619369369369368,0.8108108108108109,0.8421154967917559,0.6396396396396397,0.5634725634725635,0.7191163766506232,0.5585585585585585,,0.8533763120919083,0.881227173119065,0.8725579512096365,0.7165627165627165,0.7753960857409133,0.9213213213213213,0.9887051230334812,0.9764982373678027,0.9970365101944049,0.9090309822017139,0.9622956289622956,0.9621621621621621,0.7387387387387387,0.7514332514332515,0.8717758854745156
H,0.5932721712538227,0.7120677487649965,0.9396739489142631,0.7406171809841534,0.6430358632193495,0.8028570231661849,0.8222081619740589,0.8533763120919083,,0.5731382758905695,0.5729993471463423,0.629498941425547,0.8784140040071707,0.7594291539245668,0.961613948605596,0.9098967335903914,0.9652341863833896,0.8205415081673751,0.7739268320308076,0.80565749235474,0.5462885738115095,0.7178204058938005,0.757488165556533
L,0.6023648648648648,0.642966042966043,0.9450580076479357,0.7526617526617526,0.7805077805077806,0.8182401579661854,0.825722273998136,0.881227173119065,0.5731382758905695,,0.5842899078854136,0.6282744282744283,0.8913327120223672,0.7566366366366366,0.9499260454484335,0.9198459328894112,0.9541370317686108,0.794726433750824,0.8192192192192193,0.7844144144144144,0.5195741195741196,0.7538083538083539,0.7702579291620387
