num,within,status,confident,soft_top
433,True,unresolved,unresolved,ureilite
1036,True,unresolved,unresolved,CR
1620,True,unresolved,unresolved,ureilite
1627,True,unresolved,unresolved,ureilite
1685,True,degenerate,degenerate,CO
1917,True,degenerate,degenerate,mesosiderite
2059,True,degenerate,degenerate,pallasite
2061,True,unresolved,unresolved,lunar-meteorite
2062,True,unresolved,unresolved,ordinary_chondrite
2100,True,degenerate,degenerate,CI
2329,True,unresolved,unresolved,ureilite
2368,True,unresolved,unresolved,EH
2449,True,unresolved,unresolved,CM
3200,True,degenerate,degenerate,CO
3352,True,unresolved,unresolved,CR
3552,True,unresolved,unresolved,CM
3554,True,unresolved,unresolved,EH
3691,True,unresolved,unresolved,CM
4055,True,ok,diogenite,diogenite
4179,True,unresolved,unresolved,CR
4581,True,unresolved,unresolved,CM
5131,True,degenerate,degenerate,R
5189,True,unresolved,unresolved,lunar-meteorite
5626,True,unresolved,unresolved,CR
5645,True,unresolved,unresolved,CM
5653,True,unresolved,unresolved,CR
5863,True,unresolved,unresolved,CR
5879,True,unresolved,unresolved,ureilite
6053,True,unresolved,unresolved,CR
6569,False,degenerate,degenerate,pallasite
7088,True,unresolved,unresolved,ordinary_chondrite
7336,True,unresolved,unresolved,lunar-meteorite
7341,True,unresolved,unresolved,lunar-meteorite
8014,True,degenerate,degenerate,CO
8037,True,unresolved,unresolved,CM
8567,True,unresolved,unresolved,ordinary_chondrite
10115,True,degenerate,degenerate,CO
10145,True,unresolved,unresolved,ordinary_chondrite
10636,True,unresolved,unresolved,CR
11066,True,unresolved,unresolved,CR
11398,True,unresolved,unresolved,lodranite-acapulcoite
11405,True,unresolved,unresolved,ordinary_chondrite
13353,True,degenerate,degenerate,CI
14402,True,degenerate,degenerate,CI
15745,True,unresolved,unresolved,CR
16834,True,unresolved,unresolved,CR
16960,True,unresolved,unresolved,ordinary_chondrite
17182,True,unresolved,unresolved,CM
17274,True,unresolved,unresolved,CM
17511,True,unresolved,unresolved,CR
18882,True,degenerate,degenerate,mesosiderite
21374,True,unresolved,unresolved,CM
24475,True,unresolved,unresolved,CR
24761,True,unresolved,unresolved,CM
