raw,canonical,group_kind
C,C-ungrouped,coarse
C1-ung,C-ungrouped,coarse
C1/2-ung,C-ungrouped,coarse
C2,C-ungrouped,coarse
C2-ung,C-ungrouped,coarse
C3-ung,C-ungrouped,coarse
C3.0-ung,C-ungrouped,coarse
C3/4-ung,C-ungrouped,coarse
C4,C-ungrouped,coarse
C4-ung,C-ungrouped,coarse
C4/5,C-ungrouped,coarse
C5/6-ung,C-ungrouped,coarse
C6,C-ungrouped,coarse
Tagish Lake,C-ungrouped,coarse
CB,CB,primary
CBa,CB,primary
CBb,CB,primary
CH,CH,primary
CH/CBb,CH,primary
CH3,CH,primary
Chondrite-fusion crust,CH,primary
Chondrite-ung,CH,primary
CI,CI,primary
CI1,CI,primary
CK,CK,primary
CK3,CK,primary
CK3-an,CK,primary
CK3.8,CK,primary
CK3/4,CK,primary
CK4,CK,primary
CK4-an,CK,primary
CK4/5,CK,primary
CK5,CK,primary
CK5/6,CK,primary
CK6,CK,primary
CM,CM,primary
CM-an,CM,primary
CM1,CM,primary
CM1/2,CM,primary
CM2,CM,primary
CM2-an,CM,primary
cm,CM,primary
CO3,CO,primary
CO3.0,CO,primary
CO3.1,CO,primary
CO3.2,CO,primary
CO3.3,CO,primary
CO3.4,CO,primary
CO3.5,CO,primary
CO3.6,CO,primary
CO3.7,CO,primary
CO3.8,CO,primary
CR,CR,primary
CR-an,CR,primary
CR1,CR,primary
CR2,CR,primary
CR2-an,CR,primary
CR7,CR,primary
CV2,CV,primary
CV3,CV,primary
CV3-an,CV,primary
CV7,CV,primary
E,E,coarse
E3,E,coarse
E3-an,E,coarse
E4,E,coarse
E5,E,coarse
E5-an,E,coarse
E6,E,coarse
Enst achon,E,coarse
Enst achon-ung,E,coarse
EH,EH,primary
EH-imp melt,EH,primary
EH3,EH,primary
EH3/4-an,EH,primary
EH4,EH,primary
EH4/5,EH,primary
EH5,EH,primary
EH6,EH,primary
EH6-an,EH,primary
EH7,EH,primary
EH7-an,EH,primary
EL,EL,primary
EL-melt rock,EL,primary
EL3,EL,primary
EL3/4,EL,primary
EL4,EL,primary
EL4/5,EL,primary
EL5,EL,primary
EL6,EL,primary
EL6/7,EL,primary
EL7,EL,primary
El,EL,primary
H,H,primary
H-an,H,primary
H-imp melt,H,primary
H-melt breccia,H,primary
H-melt rock,H,primary
H-metal,H,primary
H3,H,primary
H3-4,H,primary
H3-5,H,primary
H3-6,H,primary
H3-an,H,primary
H3.0,H,primary
H3.0-3.4,H,primary
H3.05,H,primary
H3.1,H,primary
H3.10,H,primary
H3.15,H,primary
H3.2,H,primary
H3.2-3.7,H,primary
H3.2-6,H,primary
H3.2-an,H,primary
H3.3,H,primary
H3.4,H,primary
H3.4-5,H,primary
H3.4/3.5,H,primary
H3.5,H,primary
H3.5-4,H,primary
H3.6,H,primary
H3.6-6,H,primary
H3.7,H,primary
H3.7-5,H,primary
H3.7-6,H,primary
H3.7/3.8,H,primary
H3.8,H,primary
H3.8-4,H,primary
H3.8-5,H,primary
H3.8-6,H,primary
H3.8-an,H,primary
H3.8/3.9,H,primary
H3.8/4,H,primary
H3.9,H,primary
H3.9-5,H,primary
H3.9-6,H,primary
H3.9/4,H,primary
H3/4,H,primary
H4,H,primary
H4(?),H,primary
H4-5,H,primary
H4-6,H,primary
H4-an,H,primary
H4-melt breccia,H,primary
H4/5,H,primary
H4/6,H,primary
H5,H,primary
H5-6,H,primary
H5-7,H,primary
H5-an,H,primary
H5-melt breccia,H,primary
H5/6,H,primary
H6,H,primary
H6-melt breccia,H,primary
H6/7,H,primary
H7,H,primary
K,K,primary
K3,K,primary
L,L,primary
L-imp melt,L,primary
L-melt breccia,L,primary
L-melt rock,L,primary
L-metal,L,primary
L3,L,primary
L3-4,L,primary
L3-5,L,primary
L3-6,L,primary
L3-7,L,primary
L3-melt breccia,L,primary
L3.0,L,primary
L3.0-3.7,L,primary
L3.0-3.9,L,primary
L3.00,L,primary
L3.05,L,primary
L3.1,L,primary
L3.10,L,primary
L3.2,L,primary
L3.2-3.5,L,primary
L3.2-3.6,L,primary
L3.3,L,primary
L3.3-3.5,L,primary
L3.3-3.6,L,primary
L3.3-3.7,L,primary
L3.4,L,primary
L3.4-3.7,L,primary
L3.5,L,primary
L3.5-3.7,L,primary
L3.5-3.8,L,primary
L3.5-3.9,L,primary
L3.5-5,L,primary
L3.6,L,primary
L3.6-4,L,primary
L3.7,L,primary
L3.7-3.9,L,primary
L3.7-4,L,primary
L3.7-6,L,primary
L3.7/3.8,L,primary
L3.8,L,primary
L3.8-5,L,primary
L3.8-6,L,primary
L3.8-an,L,primary
L3.9,L,primary
L3.9-5,L,primary
L3.9-6,L,primary
L3.9/4,L,primary
L3/4,L,primary
L4,L,primary
L4-5,L,primary
L4-6,L,primary
L4-an,L,primary
L4-melt breccia,L,primary
L4-melt rock,L,primary
L4/5,L,primary
L5,L,primary
L5-6,L,primary
L5-7,L,primary
L5-melt breccia,L,primary
L5/6,L,primary
L6,L,primary
L6-melt breccia,L,primary
L6-melt rock,L,primary
L6/7,L,primary
L7,L,primary
L/LL4,L-LL,soft
L/LL5,L-LL,soft
LL,LL,primary
LL-imp melt,LL,primary
LL-melt breccia,LL,primary
LL-melt rock,LL,primary
LL3,LL,primary
LL3-4,LL,primary
LL3-5,LL,primary
LL3-6,LL,primary
LL3.0,LL,primary
LL3.00,LL,primary
LL3.05,LL,primary
LL3.1,LL,primary
LL3.1-3.5,LL,primary
LL3.10,LL,primary
LL3.15,LL,primary
LL3.2,LL,primary
LL3.3,LL,primary
LL3.4,LL,primary
LL3.5,LL,primary
